,precision,recall,f1-score,support
alt.atheism,0.4965986394557823,0.48344370860927155,0.4899328859060403,151.0
comp.graphics,0.6618357487922706,0.6782178217821783,0.6699266503667481,202.0
comp.os.ms-windows.misc,0.6631016042780749,0.6358974358974359,0.6492146596858639,195.0
comp.sys.ibm.pc.hardware,0.5463414634146342,0.6120218579234973,0.5773195876288659,183.0
comp.sys.mac.hardware,0.7592592592592593,0.6,0.670299727520436,205.0
comp.windows.x,0.88,0.8186046511627907,0.8481927710843373,215.0
misc.forsale,0.7204301075268817,0.694300518134715,0.7071240105540897,193.0
rec.autos,0.5166051660516605,0.7142857142857143,0.5995717344753747,196.0
rec.motorcycles,0.6685082872928176,0.7202380952380952,0.6934097421203438,168.0
rec.sport.baseball,0.8888888888888888,0.8341232227488151,0.8606356968215159,211.0
rec.sport.hockey,0.9193548387096774,0.8636363636363636,0.890625,198.0
sci.crypt,0.8032786885245902,0.7313432835820896,0.765625,201.0
sci.electronics,0.655,0.6485148514851485,0.6517412935323383,202.0
sci.med,0.7990430622009569,0.8608247422680413,0.8287841191066998,194.0
sci.space,0.7169811320754716,0.8042328042328042,0.7581047381546134,189.0
soc.religion.christian,0.6504065040650406,0.7920792079207921,0.7142857142857143,202.0
talk.politics.guns,0.6737967914438503,0.6702127659574468,0.672,188.0
talk.politics.mideast,0.8245614035087719,0.7747252747252747,0.7988668555240793,182.0
talk.politics.misc,0.5454545454545454,0.6037735849056604,0.573134328358209,159.0
talk.religion.misc,0.5,0.20588235294117646,0.2916666666666667,136.0
accuracy,0.6989389920424404,0.6989389920424404,0.6989389920424404,0.6989389920424404
macro avg,0.6944723065471587,0.6873179128718656,0.6855230590895968,3770.0
weighted avg,0.703488503179399,0.6989389920424404,0.6965954330831263,3770.0
