,precision,recall,f1-score,support
alt.atheism,0.45323741007194246,0.41721854304635764,0.43448275862068964,151.0
comp.graphics,0.5932203389830508,0.5198019801980198,0.554089709762533,202.0
comp.os.ms-windows.misc,0.5510204081632653,0.5538461538461539,0.5524296675191815,195.0
comp.sys.ibm.pc.hardware,0.5175879396984925,0.5628415300546448,0.5392670157068062,183.0
comp.sys.mac.hardware,0.6515151515151515,0.6292682926829268,0.6401985111662531,205.0
comp.windows.x,0.7378640776699029,0.7069767441860465,0.7220902612826603,215.0
misc.forsale,0.6918918918918919,0.6632124352331606,0.6772486772486772,193.0
rec.autos,0.5627906976744186,0.6173469387755102,0.5888077858880778,196.0
rec.motorcycles,0.37966101694915255,0.6666666666666666,0.4838012958963283,168.0
rec.sport.baseball,0.6923076923076923,0.6824644549763034,0.6873508353221957,211.0
rec.sport.hockey,0.864406779661017,0.7727272727272727,0.816,198.0
sci.crypt,0.7777777777777778,0.6268656716417911,0.6942148760330579,201.0
sci.electronics,0.5024875621890548,0.5,0.5012406947890818,202.0
sci.med,0.7083333333333334,0.7010309278350515,0.7046632124352331,194.0
sci.space,0.6649484536082474,0.6825396825396826,0.6736292428198434,189.0
soc.religion.christian,0.6602870813397129,0.6831683168316832,0.6715328467153284,202.0
talk.politics.guns,0.6054054054054054,0.5957446808510638,0.6005361930294906,188.0
talk.politics.mideast,0.76875,0.6758241758241759,0.7192982456140351,182.0
talk.politics.misc,0.53125,0.5345911949685535,0.5329153605015674,159.0
talk.religion.misc,0.36607142857142855,0.3014705882352941,0.33064516129032256,136.0
accuracy,0.6124668435013263,0.6124668435013263,0.6124668435013263,0.6124668435013263
macro avg,0.6140407223405469,0.604680312556018,0.6062221175820681,3770.0
weighted avg,0.6232843122321006,0.6124668435013263,0.6149597181576321,3770.0
