,precision,recall,f1-score,support
alt.atheism,0.5106382978723404,0.4768211920529801,0.4931506849315068,151.0
comp.graphics,0.5634517766497462,0.5495049504950495,0.556390977443609,202.0
comp.os.ms-windows.misc,0.5591397849462365,0.5333333333333333,0.5459317585301837,195.0
comp.sys.ibm.pc.hardware,0.5235602094240838,0.546448087431694,0.5347593582887701,183.0
comp.sys.mac.hardware,0.6358974358974359,0.6048780487804878,0.62,205.0
comp.windows.x,0.7157360406091371,0.6558139534883721,0.6844660194174758,215.0
misc.forsale,0.7096774193548387,0.6839378238341969,0.6965699208443272,193.0
rec.autos,0.5727699530516432,0.6224489795918368,0.5965770171149144,196.0
rec.motorcycles,0.3708609271523179,0.6666666666666666,0.4765957446808511,168.0
rec.sport.baseball,0.6948356807511737,0.7014218009478673,0.6981132075471698,211.0
rec.sport.hockey,0.888268156424581,0.803030303030303,0.843501326259947,198.0
sci.crypt,0.7602339181286549,0.6467661691542289,0.6989247311827957,201.0
sci.electronics,0.4976303317535545,0.5198019801980198,0.5084745762711864,202.0
sci.med,0.7135416666666666,0.7061855670103093,0.7098445595854922,194.0
sci.space,0.6758241758241759,0.6507936507936508,0.6630727762803235,189.0
soc.religion.christian,0.680628272251309,0.6435643564356436,0.6615776081424937,202.0
talk.politics.guns,0.5775401069518716,0.574468085106383,0.576,188.0
talk.politics.mideast,0.7741935483870968,0.6593406593406593,0.712166172106825,182.0
talk.politics.misc,0.5064102564102564,0.4968553459119497,0.5015873015873016,159.0
talk.religion.misc,0.368,0.3382352941176471,0.3524904214559387,136.0
accuracy,0.6108753315649867,0.6108753315649867,0.6108753315649867,0.6108753315649867
macro avg,0.614941897925356,0.6040158123860639,0.6065097080835555,3770.0
weighted avg,0.6236216069619027,0.6108753315649867,0.6144942276362707,3770.0
