,precision,recall,f1-score,support
alt.atheism,0.3548387096774194,0.36423841059602646,0.35947712418300654,151.0
comp.graphics,0.5269461077844312,0.43564356435643564,0.47696476964769646,202.0
comp.os.ms-windows.misc,0.46195652173913043,0.4358974358974359,0.44854881266490765,195.0
comp.sys.ibm.pc.hardware,0.44808743169398907,0.44808743169398907,0.44808743169398907,183.0
comp.sys.mac.hardware,0.5029585798816568,0.4146341463414634,0.45454545454545453,205.0
comp.windows.x,0.7475247524752475,0.7023255813953488,0.7242206235011991,215.0
misc.forsale,0.576036866359447,0.6476683937823834,0.6097560975609756,193.0
rec.autos,0.4973821989528796,0.4846938775510204,0.4909560723514212,196.0
rec.motorcycles,0.26330532212885155,0.5595238095238095,0.3580952380952381,168.0
rec.sport.baseball,0.6163793103448276,0.6777251184834123,0.6455981941309256,211.0
rec.sport.hockey,0.7377049180327869,0.6818181818181818,0.7086614173228346,198.0
sci.crypt,0.6752577319587629,0.6517412935323383,0.6632911392405063,201.0
sci.electronics,0.4777777777777778,0.42574257425742573,0.450261780104712,202.0
sci.med,0.6376811594202898,0.6804123711340206,0.6583541147132169,194.0
sci.space,0.6030927835051546,0.6190476190476191,0.6109660574412533,189.0
soc.religion.christian,0.6871794871794872,0.6633663366336634,0.6750629722921915,202.0
talk.politics.guns,0.45454545454545453,0.425531914893617,0.43956043956043955,188.0
talk.politics.mideast,0.6703910614525139,0.6593406593406593,0.6648199445983379,182.0
talk.politics.misc,0.39344262295081966,0.3018867924528302,0.3416370106761566,159.0
talk.religion.misc,0.3132530120481928,0.19117647058823528,0.2374429223744292,136.0
accuracy,0.5336870026525199,0.5336870026525199,0.5336870026525199,0.5336870026525199
macro avg,0.5322870904954561,0.5235250991659958,0.5233153808349447,3770.0
weighted avg,0.5427896280863543,0.5336870026525199,0.5341294995499639,3770.0
