,precision,recall,f1-score,support
alt.atheism,0.532051282051282,0.5496688741721855,0.5407166123778502,151.0
comp.graphics,0.62,0.6138613861386139,0.6169154228855721,202.0
comp.os.ms-windows.misc,0.6594594594594595,0.6256410256410256,0.6421052631578947,195.0
comp.sys.ibm.pc.hardware,0.5365853658536586,0.6010928961748634,0.5670103092783505,183.0
comp.sys.mac.hardware,0.7262569832402235,0.6341463414634146,0.6770833333333334,205.0
comp.windows.x,0.7878787878787878,0.7255813953488373,0.7554479418886199,215.0
misc.forsale,0.7288135593220338,0.6683937823834197,0.6972972972972973,193.0
rec.autos,0.6613756613756614,0.6377551020408163,0.6493506493506493,196.0
rec.motorcycles,0.3790849673202614,0.6904761904761905,0.48945147679324896,168.0
rec.sport.baseball,0.7488151658767772,0.7488151658767772,0.7488151658767772,211.0
rec.sport.hockey,0.9055555555555556,0.8232323232323232,0.8624338624338624,198.0
sci.crypt,0.8717948717948718,0.6766169154228856,0.7619047619047619,201.0
sci.electronics,0.5504587155963303,0.594059405940594,0.5714285714285714,202.0
sci.med,0.6832579185520362,0.7783505154639175,0.727710843373494,194.0
sci.space,0.7091836734693877,0.7354497354497355,0.7220779220779221,189.0
soc.religion.christian,0.6637168141592921,0.7425742574257426,0.7009345794392523,202.0
talk.politics.guns,0.675531914893617,0.675531914893617,0.675531914893617,188.0
talk.politics.mideast,0.7962962962962963,0.7087912087912088,0.75,182.0
talk.politics.misc,0.559748427672956,0.559748427672956,0.559748427672956,159.0
talk.religion.misc,0.4827586206896552,0.20588235294117646,0.28865979381443296,136.0
accuracy,0.6591511936339522,0.6591511936339522,0.6591511936339522,0.6591511936339522
macro avg,0.6639312020529071,0.6497834608475149,0.6502312074639233,3770.0
weighted avg,0.6725692512594861,0.6591511936339522,0.66017754976749,3770.0
