,precision,recall,f1-score,support
alt.atheism,0.5253164556962026,0.5496688741721855,0.5372168284789643,151.0
comp.graphics,0.6169154228855721,0.6138613861386139,0.6153846153846154,202.0
comp.os.ms-windows.misc,0.6492146596858639,0.6358974358974359,0.6424870466321243,195.0
comp.sys.ibm.pc.hardware,0.5422885572139303,0.5956284153005464,0.5677083333333334,183.0
comp.sys.mac.hardware,0.7039106145251397,0.6146341463414634,0.65625,205.0
comp.windows.x,0.7738693467336684,0.7162790697674418,0.7439613526570048,215.0
misc.forsale,0.7237569060773481,0.6787564766839378,0.7005347593582888,193.0
rec.autos,0.656084656084656,0.6326530612244898,0.6441558441558441,196.0
rec.motorcycles,0.38461538461538464,0.6845238095238095,0.4925053533190578,168.0
rec.sport.baseball,0.75,0.7393364928909952,0.7446300715990454,211.0
rec.sport.hockey,0.9166666666666666,0.8333333333333334,0.873015873015873,198.0
sci.crypt,0.8717948717948718,0.6766169154228856,0.7619047619047619,201.0
sci.electronics,0.5391705069124424,0.5792079207920792,0.5584725536992841,202.0
sci.med,0.6883720930232559,0.7628865979381443,0.7237163814180929,194.0
sci.space,0.7076923076923077,0.7301587301587301,0.71875,189.0
soc.religion.christian,0.6651785714285714,0.7376237623762376,0.6995305164319249,202.0
talk.politics.guns,0.6772486772486772,0.6808510638297872,0.6790450928381963,188.0
talk.politics.mideast,0.7818181818181819,0.7087912087912088,0.7435158501440923,182.0
talk.politics.misc,0.5609756097560976,0.5786163522012578,0.5696594427244582,159.0
talk.religion.misc,0.4745762711864407,0.20588235294117646,0.28717948717948716,136.0
accuracy,0.656763925729443,0.656763925729443,0.656763925729443,0.656763925729443
macro avg,0.6604732880522639,0.647760370286288,0.6479812082137224,3770.0
weighted avg,0.6690346103316842,0.656763925729443,0.6576592954348145,3770.0
