,precision,recall,f1-score,support
alt.atheism,0.2689655172413793,0.2582781456953642,0.2635135135135135,151.0
comp.graphics,0.31313131313131315,0.3069306930693069,0.31,202.0
comp.os.ms-windows.misc,0.37341772151898733,0.30256410256410254,0.3342776203966006,195.0
comp.sys.ibm.pc.hardware,0.30303030303030304,0.32786885245901637,0.31496062992125984,183.0
comp.sys.mac.hardware,0.36423841059602646,0.2682926829268293,0.3089887640449438,205.0
comp.windows.x,0.5317073170731708,0.5069767441860465,0.5190476190476191,215.0
misc.forsale,0.5176991150442478,0.6062176165803109,0.5584725536992841,193.0
rec.autos,0.21923076923076923,0.29081632653061223,0.25,196.0
rec.motorcycles,0.25225225225225223,0.3333333333333333,0.28717948717948716,168.0
rec.sport.baseball,0.41954022988505746,0.3459715639810427,0.37922077922077924,211.0
rec.sport.hockey,0.49065420560747663,0.5303030303030303,0.5097087378640777,198.0
sci.crypt,0.430622009569378,0.44776119402985076,0.43902439024390244,201.0
sci.electronics,0.3505747126436782,0.30198019801980197,0.324468085106383,202.0
sci.med,0.37755102040816324,0.38144329896907214,0.37948717948717947,194.0
sci.space,0.3333333333333333,0.4021164021164021,0.3645083932853717,189.0
soc.religion.christian,0.3583815028901734,0.6138613861386139,0.45255474452554745,202.0
talk.politics.guns,0.34265734265734266,0.26063829787234044,0.29607250755287007,188.0
talk.politics.mideast,0.41284403669724773,0.4945054945054945,0.45,182.0
talk.politics.misc,0.4,0.20125786163522014,0.26778242677824265,159.0
talk.religion.misc,0.2,0.03676470588235294,0.062111801242236024,136.0
accuracy,0.3694960212201592,0.3694960212201592,0.3694960212201592,0.3694960212201592
macro avg,0.362991555640515,0.3608940965399072,0.3535689616554648,3770.0
weighted avg,0.3682826522376025,0.3694960212201592,0.3613901944730647,3770.0
