,precision,recall,f1-score,support
Авто,0.9259259259259259,0.847457627118644,0.8849557522123894,59.0
Гурт возёс,0.9464285714285714,0.8983050847457628,0.9217391304347826,59.0
Дышетон но тодос,0.7586206896551724,0.7857142857142857,0.7719298245614035,56.0
ЖКХ,0.9824561403508771,0.9032258064516129,0.9411764705882353,62.0
Инкуазь,1.0,1.0,1.0,46.0
Лулчеберет но туризм,0.8813559322033898,0.8,0.8387096774193549,65.0
Лэсьтӥськон,0.7205882352941176,0.8596491228070176,0.784,57.0
Мерлык,0.6935483870967742,0.7049180327868853,0.6991869918699187,61.0
Политика,0.7777777777777778,0.9245283018867925,0.8448275862068966,53.0
Спорт,0.9032258064516129,0.875,0.8888888888888888,64.0
Тазалык,0.9107142857142857,0.9272727272727272,0.918918918918919,55.0
Шимучыръёс,0.88,0.88,0.88,50.0
Экономика но коньдон,0.9245283018867925,0.8596491228070176,0.8909090909090909,57.0
accuracy,0.8629032258064516,0.8629032258064516,0.8629032258064516,0.8629032258064516
macro avg,0.8696284656757923,0.8665938547377496,0.8665571024622986,744.0
weighted avg,0.8687475054317284,0.8629032258064516,0.8642710411890168,744.0
