,precision,recall,f1-score,support
Авто,0.896551724137931,0.8813559322033898,0.8888888888888888,59.0
Гурт возёс,0.9807692307692307,0.864406779661017,0.918918918918919,59.0
Дышетон но тодос,0.7457627118644068,0.7857142857142857,0.7652173913043478,56.0
ЖКХ,1.0,0.9193548387096774,0.957983193277311,62.0
Инкуазь,1.0,1.0,1.0,46.0
Лулчеберет но туризм,0.8620689655172413,0.7692307692307693,0.8130081300813008,65.0
Лэсьтӥськон,0.7083333333333334,0.8947368421052632,0.7906976744186046,57.0
Мерлык,0.7166666666666667,0.7049180327868853,0.7107438016528925,61.0
Политика,0.8333333333333334,0.9433962264150944,0.8849557522123894,53.0
Спорт,0.95,0.890625,0.9193548387096774,64.0
Тазалык,0.9444444444444444,0.9272727272727272,0.9357798165137615,55.0
Шимучыръёс,0.8823529411764706,0.9,0.8910891089108911,50.0
Экономика но коньдон,0.9122807017543859,0.9122807017543859,0.9122807017543859,57.0
accuracy,0.8723118279569892,0.8723118279569892,0.8723118279569892,0.8723118279569892
macro avg,0.8794280040767265,0.8764070873733457,0.87607063204949,744.0
weighted avg,0.878601553493483,0.8723118279569892,0.8735781858243902,744.0
